Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
360299,Morocco (Eyewitness Travel Guides),Louise Lang,"Lang, Louise",,"=""0756605091""","=""9780756605094""",4,4.05,DK Eyewitness Travel,Flexibound,400,2004,2002,,2016/07/07,,,read,,,,1,0
49116,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.58,Arthur A. Levine Books,Hardcover,435,1999,1999,,2015/09/18,,,read,,,,1,0
34532,Hogfather,Terry Pratchett,"Pratchett, Terry",,"=""0552154288""","=""9780552154284""",0,4.26,Corgi,Paperback,448,2006,1996,,2019/08/21,,,read,,,,1,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.23,Avon,Mass Market Paperback,1152,2002,1999,,2019/01/11,to-read,to-read (#15),to-read,,,,0,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",0,4.28,HarperCollins,Paperback,293,1997,1988,,2017/06/07,to-read,to-read (#14),to-read,,,,0,0
400924,"Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)",Glen Cook,"Cook, Glen",,"=""0765319233""","=""9780765319234""",0,4.24,Tor Books,Paperback,704,2007,1986,,2017/06/07,to-read,to-read (#13),to-read,,,,0,0
45252,Pandora's Star (Commonwealth Saga #1),Peter F. Hamilton,"Hamilton, Peter F.",Marta García Martínez,"=""0345461622""","=""9780345461629""",0,4.23,Del Rey,Hardcover,768,2005,2004,,2017/06/07,to-read,to-read (#12),to-read,,,,0,0
8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,"=""0330491237""","=""9780330491235""",0,4.09,Non Basic Stock Line,Paperback,167,2002,1984,2017/06/07,2015/11/18,,,read,,,,1,0
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",0,3.78,Tor Books,Paperback,370,2002,1996,2016/07/07,2015/10/11,,,read,,,,1,0
11602,Hearts in Atlantis,Stephen        King,"King, Stephen",,"=""0340818670""","=""9780340818671""",0,3.86,New English Library,Paperback,640,2001,1999,,2016/07/07,,,read,,,,1,0
